workerid,key,value
W6cd43650e7,bonus,2
W0cd4e5c8ce,startTime,Thu Apr 28 2022 13:34:45 GMT+0100 (British Summer Time)
W0cd4e5c8ce,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W0cd4e5c8ce,trialDataFile,exp1_split2
W0cd4e5c8ce,featureRandomization,"{""Green"":""Solid"",""Red"":""Spotted"",""Blue"":""Striped"",""Spotted"":""Red"",""Solid"":""Blue"",""Striped"":""Green""}"
W0cd4e5c8ce,descriptionSet,reduced
W0cd4e5c8ce,quizAttempt-1,"{""attempt"":1,""correct"":5,""total"":14}"
W0cd4e5c8ce,quizAttempt-2,"{""attempt"":2,""correct"":11,""total"":14}"
W0cd4e5c8ce,quizAttempt-3,"{""attempt"":3,""correct"":2,""total"":6}"
W0cd4e5c8ce,quizFailed,"{""attempt"":3,""correct"":2,""total"":6}"
W28e5ce0991,startTime,Thu Apr 28 2022 13:35:15 GMT+0100 (British Summer Time)
W28e5ce0991,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W28e5ce0991,trialDataFile,exp1_split3
W28e5ce0991,featureRandomization,"{""Green"":""Red"",""Red"":""Green"",""Blue"":""Blue"",""Spotted"":""Spotted"",""Solid"":""Striped"",""Striped"":""Solid""}"
W28e5ce0991,descriptionSet,reduced
W28e5ce0991,quizAttempt-1,"{""attempt"":1,""correct"":12,""total"":14}"
W28e5ce0991,quizAttempt-2,"{""attempt"":2,""correct"":4,""total"":5}"
W28e5ce0991,quizAttempt-3,"{""attempt"":3,""correct"":2,""total"":3}"
W28e5ce0991,quizFailed,"{""attempt"":3,""correct"":2,""total"":3}"
W12530a6dd0,startTime,Thu Apr 28 2022 13:33:59 GMT+0100 (British Summer Time)
W12530a6dd0,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W12530a6dd0,trialDataFile,exp1_split2
W12530a6dd0,featureRandomization,"{""Green"":""Spotted"",""Red"":""Solid"",""Blue"":""Striped"",""Spotted"":""Green"",""Solid"":""Red"",""Striped"":""Blue""}"
W12530a6dd0,descriptionSet,reduced
W12530a6dd0,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
W12530a6dd0,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
W12530a6dd0,bonus,2
Wfe42f162db,startTime,Thu Apr 28 2022 13:34:19 GMT+0100 (British Summer Time)
Wfe42f162db,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Wfe42f162db,trialDataFile,exp1_split2
Wfe42f162db,featureRandomization,"{""Green"":""Solid"",""Red"":""Spotted"",""Blue"":""Striped"",""Spotted"":""Blue"",""Solid"":""Red"",""Striped"":""Green""}"
Wfe42f162db,descriptionSet,reduced
Wfe42f162db,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
Wfe42f162db,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
Wfe42f162db,bonus,2
W8590c92a98,startTime,Thu Apr 28 2022 13:35:04 GMT+0100 (British Summer Time)
W8590c92a98,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W8590c92a98,trialDataFile,exp1_split3
W8590c92a98,featureRandomization,"{""Green"":""Blue"",""Red"":""Green"",""Blue"":""Red"",""Spotted"":""Solid"",""Solid"":""Spotted"",""Striped"":""Striped""}"
W8590c92a98,descriptionSet,reduced
W8590c92a98,quizAttempt-1,"{""attempt"":1,""correct"":13,""total"":14}"
W8590c92a98,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
W8590c92a98,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
W8590c92a98,bonus,2
W731af3dbea,startTime,Thu Apr 28 2022 13:35:08 GMT+0100 (British Summer Time)
W731af3dbea,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W731af3dbea,trialDataFile,exp1_split2
W731af3dbea,featureRandomization,"{""Green"":""Blue"",""Red"":""Red"",""Blue"":""Green"",""Spotted"":""Spotted"",""Solid"":""Striped"",""Striped"":""Solid""}"
W731af3dbea,descriptionSet,reduced
W731af3dbea,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
W731af3dbea,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
W731af3dbea,bonus,2
W5b1471b396,startTime,Thu Apr 28 2022 13:37:15 GMT+0100 (British Summer Time)
W5b1471b396,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W5b1471b396,trialDataFile,exp1_split2
W5b1471b396,featureRandomization,"{""Green"":""Green"",""Red"":""Blue"",""Blue"":""Red"",""Spotted"":""Spotted"",""Solid"":""Striped"",""Striped"":""Solid""}"
W5b1471b396,descriptionSet,reduced
W5b1471b396,quizAttempt-1,"{""attempt"":1,""correct"":12,""total"":14}"
W5b1471b396,quizAttempt-2,"{""attempt"":2,""correct"":1,""total"":3}"
W5b1471b396,quizAttempt-3,"{""attempt"":3,""correct"":3,""total"":3}"
W5b1471b396,quizPassed,"{""attempt"":3,""correct"":3,""total"":3}"
W5b1471b396,bonus,2
Wa7ff43c39a,startTime,Thu Apr 28 2022 13:40:04 GMT+0100 (British Summer Time)
Wa7ff43c39a,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Wa7ff43c39a,trialDataFile,exp1_split1
Wa7ff43c39a,featureRandomization,"{""Green"":""Striped"",""Red"":""Spotted"",""Blue"":""Solid"",""Spotted"":""Red"",""Solid"":""Blue"",""Striped"":""Green""}"
Wa7ff43c39a,descriptionSet,reduced
Wa7ff43c39a,quizAttempt-1,"{""attempt"":1,""correct"":13,""total"":14}"
Wa7ff43c39a,quizAttempt-2,"{""attempt"":2,""correct"":2,""total"":2}"
Wa7ff43c39a,quizPassed,"{""attempt"":2,""correct"":2,""total"":2}"
Wa7ff43c39a,bonus,2
Wdce7e7a98a,startTime,Thu Apr 28 2022 13:39:02 GMT+0100 (British Summer Time)
Wdce7e7a98a,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Wdce7e7a98a,trialDataFile,exp1_split3
Wdce7e7a98a,featureRandomization,"{""Green"":""Solid"",""Red"":""Striped"",""Blue"":""Spotted"",""Spotted"":""Green"",""Solid"":""Red"",""Striped"":""Blue""}"
Wdce7e7a98a,descriptionSet,reduced
Wdce7e7a98a,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
Wdce7e7a98a,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
Wdce7e7a98a,bonus,2
W895cbad1d0,startTime,Thu Apr 28 2022 13:35:29 GMT+0100 (British Summer Time)
W895cbad1d0,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W895cbad1d0,trialDataFile,exp1_split1
W895cbad1d0,featureRandomization,"{""Green"":""Blue"",""Red"":""Red"",""Blue"":""Green"",""Spotted"":""Spotted"",""Solid"":""Striped"",""Striped"":""Solid""}"
W895cbad1d0,descriptionSet,reduced
W895cbad1d0,quizAttempt-1,"{""attempt"":1,""correct"":11,""total"":14}"
W895cbad1d0,quizAttempt-2,"{""attempt"":2,""correct"":5,""total"":5}"
W895cbad1d0,quizPassed,"{""attempt"":2,""correct"":5,""total"":5}"
W895cbad1d0,bonus,2
W69d1507a91,startTime,Thu Apr 28 2022 13:35:17 GMT+0100 (British Summer Time)
W69d1507a91,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W69d1507a91,trialDataFile,exp1_split3
W69d1507a91,featureRandomization,"{""Green"":""Striped"",""Red"":""Solid"",""Blue"":""Spotted"",""Spotted"":""Red"",""Solid"":""Blue"",""Striped"":""Green""}"
W69d1507a91,descriptionSet,reduced
W69d1507a91,quizAttempt-1,"{""attempt"":1,""correct"":13,""total"":14}"
W69d1507a91,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
W69d1507a91,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
W69d1507a91,bonus,2
W8207fd0120,startTime,Thu Apr 28 2022 13:37:41 GMT+0100 (British Summer Time)
W8207fd0120,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W8207fd0120,trialDataFile,exp1_split3
W8207fd0120,featureRandomization,"{""Green"":""Red"",""Red"":""Green"",""Blue"":""Blue"",""Spotted"":""Spotted"",""Solid"":""Striped"",""Striped"":""Solid""}"
W8207fd0120,descriptionSet,reduced
W8207fd0120,quizAttempt-1,"{""attempt"":1,""correct"":13,""total"":14}"
W8207fd0120,quizAttempt-2,"{""attempt"":2,""correct"":2,""total"":3}"
W8207fd0120,quizAttempt-3,"{""attempt"":3,""correct"":2,""total"":3}"
W8207fd0120,quizFailed,"{""attempt"":3,""correct"":2,""total"":3}"
W544733f86d,bonus,2
W544733f86d,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W544733f86d,descriptionSet,reduced
W544733f86d,featureRandomization,"{""Green"":""Red"",""Red"":""Blue"",""Blue"":""Green"",""Spotted"":""Solid"",""Solid"":""Spotted"",""Striped"":""Striped""}"
W544733f86d,quizAttempt-1,"{""attempt"":1,""correct"":11,""total"":14}"
W544733f86d,quizAttempt-2,"{""attempt"":2,""correct"":4,""total"":5}"
W544733f86d,quizAttempt-3,"{""attempt"":3,""correct"":2,""total"":2}"
W544733f86d,quizPassed,"{""attempt"":3,""correct"":2,""total"":2}"
W544733f86d,startTime,Thu Apr 28 2022 08:11:33 GMT-0500 (Central Daylight Time)
W544733f86d,trialDataFile,exp1_split3
Wa4b2e1f653,startTime,Thu Apr 28 2022 13:36:16 GMT+0100 (British Summer Time)
Wa4b2e1f653,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Wa4b2e1f653,trialDataFile,exp1_split1
Wa4b2e1f653,featureRandomization,"{""Green"":""Solid"",""Red"":""Spotted"",""Blue"":""Striped"",""Spotted"":""Red"",""Solid"":""Green"",""Striped"":""Blue""}"
Wa4b2e1f653,descriptionSet,reduced
Wa4b2e1f653,quizAttempt-1,"{""attempt"":1,""correct"":11,""total"":14}"
Wa4b2e1f653,quizAttempt-2,"{""attempt"":2,""correct"":7,""total"":9}"
Wa4b2e1f653,quizAttempt-3,"{""attempt"":3,""correct"":6,""total"":6}"
Wa4b2e1f653,quizPassed,"{""attempt"":3,""correct"":6,""total"":6}"
Wa4b2e1f653,bonus,2
W179e509a3f,startTime,Thu Apr 28 2022 14:12:24 GMT+0100 (British Summer Time)
W179e509a3f,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W179e509a3f,trialDataFile,exp1_split1
W179e509a3f,featureRandomization,"{""Green"":""Red"",""Red"":""Green"",""Blue"":""Blue"",""Spotted"":""Spotted"",""Solid"":""Solid"",""Striped"":""Striped""}"
W179e509a3f,descriptionSet,reduced
W179e509a3f,quizAttempt-1,"{""attempt"":1,""correct"":13,""total"":14}"
W179e509a3f,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
W179e509a3f,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
W179e509a3f,bonus,2
W863c8c686c,startTime,Thu Apr 28 2022 14:12:33 GMT+0100 (British Summer Time)
W863c8c686c,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W863c8c686c,trialDataFile,exp1_split3
W863c8c686c,featureRandomization,"{""Green"":""Red"",""Red"":""Green"",""Blue"":""Blue"",""Spotted"":""Striped"",""Solid"":""Solid"",""Striped"":""Spotted""}"
W863c8c686c,descriptionSet,reduced
W863c8c686c,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
W863c8c686c,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
W863c8c686c,bonus,2
W1ab9e423c6,startTime,Thu Apr 28 2022 14:12:24 GMT+0100 (British Summer Time)
W1ab9e423c6,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W1ab9e423c6,trialDataFile,exp1_split2
W1ab9e423c6,featureRandomization,"{""Green"":""Red"",""Red"":""Green"",""Blue"":""Blue"",""Spotted"":""Striped"",""Solid"":""Spotted"",""Striped"":""Solid""}"
W1ab9e423c6,descriptionSet,reduced
W1ab9e423c6,quizAttempt-1,"{""attempt"":1,""correct"":6,""total"":14}"
W1ab9e423c6,quizAttempt-2,"{""attempt"":2,""correct"":6,""total"":11}"
W1ab9e423c6,quizAttempt-3,"{""attempt"":3,""correct"":1,""total"":6}"
W1ab9e423c6,quizFailed,"{""attempt"":3,""correct"":1,""total"":6}"
W3a298609a4,startTime,Thu Apr 28 2022 08:56:19 GMT-0400 (Eastern Daylight Time)
W3a298609a4,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W3a298609a4,trialDataFile,exp1_split3
W3a298609a4,featureRandomization,"{""Green"":""Green"",""Red"":""Blue"",""Blue"":""Red"",""Spotted"":""Striped"",""Solid"":""Solid"",""Striped"":""Spotted""}"
W3a298609a4,descriptionSet,reduced
W3a298609a4,quizAttempt-1,"{""attempt"":1,""correct"":12,""total"":14}"
W3a298609a4,quizAttempt-2,"{""attempt"":2,""correct"":5,""total"":5}"
W3a298609a4,quizPassed,"{""attempt"":2,""correct"":5,""total"":5}"
W3a298609a4,bonus,2
Wa1d564ee36,startTime,Thu Apr 28 2022 14:12:17 GMT+0100 (British Summer Time)
Wa1d564ee36,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Wa1d564ee36,trialDataFile,exp1_split3
Wa1d564ee36,featureRandomization,"{""Green"":""Green"",""Red"":""Red"",""Blue"":""Blue"",""Spotted"":""Solid"",""Solid"":""Spotted"",""Striped"":""Striped""}"
Wa1d564ee36,descriptionSet,reduced
Wa1d564ee36,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
Wa1d564ee36,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
Wa1d564ee36,bonus,2
W53e6dea7bb,startTime,Thu Apr 28 2022 14:13:45 GMT+0100 (British Summer Time)
W53e6dea7bb,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W53e6dea7bb,trialDataFile,exp1_split1
W53e6dea7bb,featureRandomization,"{""Green"":""Spotted"",""Red"":""Striped"",""Blue"":""Solid"",""Spotted"":""Red"",""Solid"":""Green"",""Striped"":""Blue""}"
W53e6dea7bb,descriptionSet,reduced
W53e6dea7bb,quizAttempt-1,"{""attempt"":1,""correct"":12,""total"":14}"
W53e6dea7bb,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
W53e6dea7bb,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
W53e6dea7bb,bonus,2
W5a98173802,startTime,Thu Apr 28 2022 14:13:40 GMT+0100 (British Summer Time)
W5a98173802,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W5a98173802,trialDataFile,exp1_split2
W5a98173802,featureRandomization,"{""Green"":""Green"",""Red"":""Red"",""Blue"":""Blue"",""Spotted"":""Solid"",""Solid"":""Spotted"",""Striped"":""Striped""}"
W5a98173802,descriptionSet,reduced
W5a98173802,quizAttempt-1,"{""attempt"":1,""correct"":11,""total"":14}"
W5a98173802,quizAttempt-2,"{""attempt"":2,""correct"":5,""total"":5}"
W5a98173802,quizPassed,"{""attempt"":2,""correct"":5,""total"":5}"
W5a98173802,bonus,2
W57d99103dd,startTime,Thu Apr 28 2022 13:43:55 GMT+0100 (British Summer Time)
W57d99103dd,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W57d99103dd,trialDataFile,exp1_split1
W57d99103dd,featureRandomization,"{""Green"":""Spotted"",""Red"":""Solid"",""Blue"":""Striped"",""Spotted"":""Green"",""Solid"":""Red"",""Striped"":""Blue""}"
W57d99103dd,descriptionSet,reduced
W57d99103dd,quizAttempt-1,"{""attempt"":1,""correct"":13,""total"":14}"
W57d99103dd,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
W57d99103dd,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
W57d99103dd,bonus,2
W84fca9f299,startTime,Thu Apr 28 2022 14:12:16 GMT+0100 (British Summer Time)
W84fca9f299,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W84fca9f299,trialDataFile,exp1_split2
W84fca9f299,featureRandomization,"{""Green"":""Striped"",""Red"":""Solid"",""Blue"":""Spotted"",""Spotted"":""Green"",""Solid"":""Red"",""Striped"":""Blue""}"
W84fca9f299,descriptionSet,reduced
W84fca9f299,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
W84fca9f299,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
W84fca9f299,bonus,2
Wbdfe07b36f,startTime,Thu Apr 28 2022 08:12:17 GMT-0500 (Central Daylight Time)
Wbdfe07b36f,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Wbdfe07b36f,trialDataFile,exp1_split2
Wbdfe07b36f,featureRandomization,"{""Green"":""Solid"",""Red"":""Striped"",""Blue"":""Spotted"",""Spotted"":""Green"",""Solid"":""Red"",""Striped"":""Blue""}"
Wbdfe07b36f,descriptionSet,reduced
Wbdfe07b36f,quizAttempt-1,"{""attempt"":1,""correct"":12,""total"":14}"
Wbdfe07b36f,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":5}"
Wbdfe07b36f,quizAttempt-3,"{""attempt"":3,""correct"":5,""total"":5}"
Wbdfe07b36f,quizPassed,"{""attempt"":3,""correct"":5,""total"":5}"
Wbdfe07b36f,bonus,2
W09f6ac6cd5,startTime,Thu Apr 28 2022 14:12:25 GMT+0100 (British Summer Time)
W09f6ac6cd5,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W09f6ac6cd5,trialDataFile,exp1_split3
W09f6ac6cd5,featureRandomization,"{""Green"":""Green"",""Red"":""Red"",""Blue"":""Blue"",""Spotted"":""Spotted"",""Solid"":""Solid"",""Striped"":""Striped""}"
W09f6ac6cd5,descriptionSet,reduced
W09f6ac6cd5,quizAttempt-1,"{""attempt"":1,""correct"":11,""total"":14}"
W09f6ac6cd5,quizAttempt-2,"{""attempt"":2,""correct"":6,""total"":6}"
W09f6ac6cd5,quizPassed,"{""attempt"":2,""correct"":6,""total"":6}"
W09f6ac6cd5,bonus,2
W6f26a7f30d,startTime,Thu Apr 28 2022 14:12:14 GMT+0100 (British Summer Time)
W6f26a7f30d,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W6f26a7f30d,trialDataFile,exp1_split2
W6f26a7f30d,featureRandomization,"{""Green"":""Solid"",""Red"":""Striped"",""Blue"":""Spotted"",""Spotted"":""Blue"",""Solid"":""Green"",""Striped"":""Red""}"
W6f26a7f30d,descriptionSet,reduced
W6f26a7f30d,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
W6f26a7f30d,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
W6f26a7f30d,bonus,2
Wf7f9b8e8a6,startTime,Thu Apr 28 2022 14:12:27 GMT+0100 (British Summer Time)
Wf7f9b8e8a6,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Wf7f9b8e8a6,trialDataFile,exp1_split3
Wf7f9b8e8a6,featureRandomization,"{""Green"":""Red"",""Red"":""Blue"",""Blue"":""Green"",""Spotted"":""Spotted"",""Solid"":""Solid"",""Striped"":""Striped""}"
Wf7f9b8e8a6,descriptionSet,reduced
Wf7f9b8e8a6,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
Wf7f9b8e8a6,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
Wf7f9b8e8a6,bonus,2
W11e5fcce90,startTime,Thu Apr 28 2022 14:12:20 GMT+0100 (British Summer Time)
W11e5fcce90,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W11e5fcce90,trialDataFile,exp1_split1
W11e5fcce90,featureRandomization,"{""Green"":""Blue"",""Red"":""Green"",""Blue"":""Red"",""Spotted"":""Spotted"",""Solid"":""Striped"",""Striped"":""Solid""}"
W11e5fcce90,descriptionSet,reduced
W11e5fcce90,quizAttempt-1,"{""attempt"":1,""correct"":13,""total"":14}"
W11e5fcce90,quizAttempt-2,"{""attempt"":2,""correct"":2,""total"":2}"
W11e5fcce90,quizPassed,"{""attempt"":2,""correct"":2,""total"":2}"
W11e5fcce90,bonus,2
W813ee87a6b,startTime,Thu Apr 28 2022 09:12:04 GMT-0400 (Eastern Daylight Time)
W813ee87a6b,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W813ee87a6b,trialDataFile,exp1_split1
W813ee87a6b,featureRandomization,"{""Green"":""Striped"",""Red"":""Solid"",""Blue"":""Spotted"",""Spotted"":""Blue"",""Solid"":""Red"",""Striped"":""Green""}"
W813ee87a6b,descriptionSet,reduced
W813ee87a6b,quizAttempt-1,"{""attempt"":1,""correct"":6,""total"":14}"
W813ee87a6b,quizAttempt-2,"{""attempt"":2,""correct"":12,""total"":12}"
W813ee87a6b,quizPassed,"{""attempt"":2,""correct"":12,""total"":12}"
W813ee87a6b,bonus,2
W20e8fa5712,startTime,Thu Apr 28 2022 14:12:42 GMT+0100 (British Summer Time)
W20e8fa5712,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W20e8fa5712,trialDataFile,exp1_split1
W20e8fa5712,featureRandomization,"{""Green"":""Striped"",""Red"":""Solid"",""Blue"":""Spotted"",""Spotted"":""Green"",""Solid"":""Blue"",""Striped"":""Red""}"
W20e8fa5712,descriptionSet,reduced
W20e8fa5712,quizAttempt-1,"{""attempt"":1,""correct"":9,""total"":14}"
W20e8fa5712,quizAttempt-2,"{""attempt"":2,""correct"":8,""total"":9}"
W20e8fa5712,quizAttempt-3,"{""attempt"":3,""correct"":3,""total"":3}"
W20e8fa5712,quizPassed,"{""attempt"":3,""correct"":3,""total"":3}"
W20e8fa5712,bonus,2
W31b110162f,startTime,Thu Apr 28 2022 14:12:33 GMT+0100 (British Summer Time)
W31b110162f,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W31b110162f,trialDataFile,exp1_split2
W31b110162f,featureRandomization,"{""Green"":""Red"",""Red"":""Blue"",""Blue"":""Green"",""Spotted"":""Spotted"",""Solid"":""Solid"",""Striped"":""Striped""}"
W31b110162f,descriptionSet,reduced
W31b110162f,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
W31b110162f,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
W31b110162f,bonus,2
Wee8c3c5b57,startTime,Thu Apr 28 2022 14:14:49 GMT+0100 (British Summer Time)
Wee8c3c5b57,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Wee8c3c5b57,trialDataFile,exp1_split3
Wee8c3c5b57,featureRandomization,"{""Green"":""Solid"",""Red"":""Striped"",""Blue"":""Spotted"",""Spotted"":""Red"",""Solid"":""Green"",""Striped"":""Blue""}"
Wee8c3c5b57,descriptionSet,reduced
Wee8c3c5b57,quizAttempt-1,"{""attempt"":1,""correct"":12,""total"":14}"
Wee8c3c5b57,quizAttempt-2,"{""attempt"":2,""correct"":4,""total"":5}"
Wee8c3c5b57,quizAttempt-3,"{""attempt"":3,""correct"":3,""total"":3}"
Wee8c3c5b57,quizPassed,"{""attempt"":3,""correct"":3,""total"":3}"
Wee8c3c5b57,bonus,2
Wec7cd699a9,startTime,Thu Apr 28 2022 14:13:40 GMT+0100 (British Summer Time)
Wec7cd699a9,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Wec7cd699a9,trialDataFile,exp1_split2
Wec7cd699a9,featureRandomization,"{""Green"":""Blue"",""Red"":""Green"",""Blue"":""Red"",""Spotted"":""Spotted"",""Solid"":""Solid"",""Striped"":""Striped""}"
Wec7cd699a9,descriptionSet,reduced
Wec7cd699a9,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
Wec7cd699a9,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
Wec7cd699a9,bonus,2
W6e4aff9e95,startTime,Thu Apr 28 2022 14:12:27 GMT+0100 (Irish Standard Time)
W6e4aff9e95,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
W6e4aff9e95,trialDataFile,exp1_split2
W6e4aff9e95,featureRandomization,"{""Green"":""Blue"",""Red"":""Red"",""Blue"":""Green"",""Spotted"":""Striped"",""Solid"":""Spotted"",""Striped"":""Solid""}"
W6e4aff9e95,descriptionSet,reduced
W6e4aff9e95,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
W6e4aff9e95,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
W6e4aff9e95,bonus,2
Wacbb2922a8,startTime,Thu Apr 28 2022 14:14:19 GMT+0100 (British Summer Time)
Wacbb2922a8,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Wacbb2922a8,trialDataFile,exp1_split2
Wacbb2922a8,featureRandomization,"{""Green"":""Blue"",""Red"":""Green"",""Blue"":""Red"",""Spotted"":""Striped"",""Solid"":""Solid"",""Striped"":""Spotted""}"
Wacbb2922a8,descriptionSet,reduced
Wacbb2922a8,quizAttempt-1,"{""attempt"":1,""correct"":13,""total"":14}"
Wacbb2922a8,quizAttempt-2,"{""attempt"":2,""correct"":3,""total"":3}"
Wacbb2922a8,quizPassed,"{""attempt"":2,""correct"":3,""total"":3}"
Wacbb2922a8,bonus,2
Wf5df666dc8,startTime,Thu Apr 28 2022 14:16:27 GMT+0100 (British Summer Time)
Wf5df666dc8,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Wf5df666dc8,trialDataFile,exp1_split3
Wf5df666dc8,featureRandomization,"{""Green"":""Spotted"",""Red"":""Striped"",""Blue"":""Solid"",""Spotted"":""Blue"",""Solid"":""Red"",""Striped"":""Green""}"
Wf5df666dc8,descriptionSet,reduced
Wf5df666dc8,quizAttempt-1,"{""attempt"":1,""correct"":13,""total"":14}"
Wf5df666dc8,quizAttempt-2,"{""attempt"":2,""correct"":2,""total"":3}"
Wf5df666dc8,quizAttempt-3,"{""attempt"":3,""correct"":3,""total"":3}"
Wf5df666dc8,quizPassed,"{""attempt"":3,""correct"":3,""total"":3}"
Wf5df666dc8,bonus,2
Wf4ef04c7d6,startTime,Thu Apr 28 2022 14:16:35 GMT+0100 (British Summer Time)
Wf4ef04c7d6,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
Wf4ef04c7d6,trialDataFile,exp1_split3
Wf4ef04c7d6,featureRandomization,"{""Green"":""Red"",""Red"":""Blue"",""Blue"":""Green"",""Spotted"":""Striped"",""Solid"":""Solid"",""Striped"":""Spotted""}"
Wf4ef04c7d6,descriptionSet,reduced
Wf4ef04c7d6,quizAttempt-1,"{""attempt"":1,""correct"":14,""total"":14}"
Wf4ef04c7d6,quizPassed,"{""attempt"":1,""correct"":14,""total"":14}"
Wf4ef04c7d6,bonus,2
We1e2cca2cb,startTime,Thu Apr 28 2022 14:13:50 GMT+0100 (British Summer Time)
We1e2cca2cb,condition,"{""objective"":""ambiguous"",""trial_type"":""select"",""horizon"":""random""}"
We1e2cca2cb,trialDataFile,exp1_split3
We1e2cca2cb,featureRandomization,"{""Green"":""Spotted"",""Red"":""Solid"",""Blue"":""Striped"",""Spotted"":""Green"",""Solid"":""Red"",""Striped"":""Blue""}"
We1e2cca2cb,descriptionSet,reduced
